date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2008-05-30,sh.600559,3.1497816000,3.2504136000,3.0592128000,3.1960723200,3.2101608000,2407587,37804469.0000,2,3.607070,1,-0.438870,0
2008-06-02,sh.600559,3.2000976000,3.2926790400,3.1699080000,3.2423630400,3.1960723200,1560859,25149224.0000,2,2.338494,1,1.448366,0
2008-06-03,sh.600559,3.2725526400,3.3993489600,3.2725526400,3.3631214400,3.2423630400,2250161,37406255.0000,2,3.371213,1,3.724385,0
2008-06-04,sh.600559,3.3007296000,3.3691593600,3.1678953600,3.2524262400,3.3631214400,1246678,20080316.0000,2,1.867785,1,-3.291438,0
2008-06-05,sh.600559,3.2262619200,3.2765779200,3.0894024000,3.1457563200,3.2524262400,1275038,20219962.0000,2,1.910274,1,-3.279701,0
2008-06-06,sh.600559,3.1457563200,3.1960723200,3.1236172800,3.1860091200,3.1457563200,865596,13592887.0000,2,1.296844,1,1.279589,0
2008-06-10,sh.600559,3.0753139200,3.0914150400,2.8680120000,2.8680120000,3.1860091200,1558092,22625971.0000,2,2.334349,1,-9.981049,0
2008-06-11,sh.600559,2.8176960000,2.8961889600,2.7190766400,2.8760625600,2.8680120000,1404441,19781786.0000,2,2.104147,1,0.280701,0
2008-06-12,sh.600559,2.8680120000,2.9082648000,2.7170640000,2.8700246400,2.8760625600,1548364,21665863.0000,2,2.319774,1,-0.209935,0
2008-06-13,sh.600559,2.8881384000,2.9344291200,2.7794558400,2.8841131200,2.8700246400,1770980,25243950.0000,2,2.653300,1,0.490881,0
2008-06-16,sh.600559,2.9002142400,3.0028588800,2.8056201600,2.9122900800,2.8841131200,1695668,24522282.0000,2,2.540466,1,0.976974,0
2008-06-17,sh.600559,2.8982016000,2.9465049600,2.6204572800,2.6204572800,2.9122900800,1838045,25154002.0000,2,2.753777,1,-10.020730,0
2008-06-18,sh.600559,2.5963056000,2.7955569600,2.4654840000,2.7794558400,2.6204572800,2469802,32739204.0000,2,3.700281,1,6.067588,0
2008-06-19,sh.600559,2.7009628800,2.7774432000,2.5017115200,2.5017115200,2.7794558400,1729610,22351493.0000,2,2.591319,1,-9.992760,0
2008-06-20,sh.600559,2.5037241600,2.6586974400,2.2742832000,2.4674966400,2.5017115200,1958604,24172973.0000,2,2.934400,1,-1.367659,0
2008-06-23,sh.600559,2.4111427200,2.4493828800,2.2944096000,2.3547888000,2.4674966400,1241896,14662035.0000,2,1.860621,1,-4.567703,0
2008-06-24,sh.600559,2.2883716800,2.4554208000,2.2883716800,2.4554208000,2.3547888000,1328117,15913359.0000,2,1.989798,1,4.273504,0
2008-06-25,sh.600559,2.4554208000,2.6305204800,2.4191932800,2.6164320000,2.4554208000,1936709,24785760.0000,2,2.901596,1,6.557379,0
2008-06-26,sh.600559,2.6365584000,2.7210892800,2.6164320000,2.6385710400,2.6164320000,2269879,30188826.0000,2,3.400755,1,0.846151,0
2008-06-27,sh.600559,2.5520275200,2.5661160000,2.4051048000,2.4373070400,2.6385710400,1755783,21719679.0000,2,2.630531,1,-7.627765,0
2008-06-30,sh.600559,2.4151680000,2.5862424000,2.4091300800,2.5178126400,2.4373070400,1976148,24802293.0000,2,2.960684,1,3.303060,0
2008-07-01,sh.600559,2.5359264000,2.5942929600,2.4151680000,2.4373070400,2.5178126400,1042412,12813735.0000,2,1.561752,1,-3.197446,0
2008-07-02,sh.600559,2.4373070400,2.4936609600,2.3789404800,2.4614587200,2.4373070400,868721,10551136.0000,2,1.301526,1,0.990916,0
2008-07-03,sh.600559,2.4051048000,2.6063688000,2.3950416000,2.5459896000,2.4614587200,3758528,46927208.0000,2,5.631063,1,3.434179,0
2008-07-04,sh.600559,2.5137873600,2.5761792000,2.4091300800,2.4695092800,2.5459896000,2583800,31968661.0000,2,3.871074,1,-3.003946,0
2008-07-07,sh.600559,2.4453576000,2.6788238400,2.4272438400,2.6647353600,2.4695092800,5559310,70937235.0000,2,8.329012,1,7.905455,0
2008-07-08,sh.600559,2.6526595200,2.9304038400,2.6264952000,2.9002142400,2.6647353600,9546226,131449193.0000,2,14.302249,1,8.836859,0
2008-07-09,sh.600559,2.8458729600,2.9304038400,2.8076328000,2.9102774400,2.9002142400,7192333,102527158.0000,2,10.775623,1,0.346983,0
2008-07-10,sh.600559,2.8619740800,2.8982016000,2.7371904000,2.7492662400,2.9102774400,4722130,66533862.0000,2,7.074741,1,-5.532505,0
2008-07-11,sh.600559,2.7170640000,2.8559361600,2.6969376000,2.8317844800,2.7492662400,3360384,46854236.0000,2,5.034560,1,3.001463,0
2008-07-14,sh.600559,2.8176960000,2.9686440000,2.7995822400,2.9605934400,2.8317844800,3802751,55127939.0000,2,5.697319,1,4.548688,0
2008-07-15,sh.600559,2.9766945600,2.9766945600,2.7975696000,2.8478856000,2.9605934400,3165973,45246719.0000,2,4.743292,1,-3.806937,0
2008-07-16,sh.600559,2.8197086400,2.8378224000,2.6164320000,2.7009628800,2.8478856000,2306471,31118149.0000,2,3.455577,1,-5.159008,0
2008-07-17,sh.600559,2.7492662400,2.9183280000,2.6969376000,2.7029755200,2.7009628800,2568047,35605495.0000,2,3.847473,1,0.074517,0
2008-07-18,sh.600559,2.7371904000,2.8579488000,2.6848617600,2.8519108800,2.7029755200,3044443,42286283.0000,2,4.561214,1,5.510050,0
2008-07-21,sh.600559,2.8217212800,2.9787072000,2.8217212800,2.9666313600,2.8519108800,3879965,56259684.0000,2,5.813001,1,4.022581,0
2008-07-22,sh.600559,2.9384544000,3.0149347200,2.8941763200,2.9485176000,2.9666313600,3433542,50295967.0000,2,5.144166,1,-0.610584,0
2008-07-23,sh.600559,2.9787072000,3.0088968000,2.8780752000,2.9485176000,2.9485176000,2938574,43098409.0000,2,4.402600,1,0.000000,0
2008-07-24,sh.600559,2.9867577600,3.0793392000,2.9525428800,3.0531748800,2.9485176000,5062290,75785884.0000,2,7.584372,1,3.549491,0
2008-07-25,sh.600559,3.0795200000,3.2800940000,3.0693900000,3.1504300000,3.0531820000,8479009,132830127.0000,2,12.703334,1,3.185139,0
2008-07-28,sh.600559,3.1463780000,3.1463780000,3.0653380000,3.0916760000,3.1504300000,4005673,61253438.0000,2,6.001338,1,-1.864951,0
2008-07-29,sh.600559,3.0491300000,3.0572340000,2.9680900000,2.9701160000,3.0916760000,2440996,36103461.0000,2,3.657124,1,-3.931851,0
2008-07-30,sh.600559,2.9984800000,3.0491300000,2.8971800000,2.9417520000,2.9701160000,1777316,26055876.0000,2,2.662792,1,-0.954975,0
2008-07-31,sh.600559,2.9579600000,2.9883500000,2.8526080000,2.8566600000,2.9417520000,1673582,24118908.0000,2,2.507377,1,-2.892562,0
2008-08-01,sh.600559,2.8343740000,2.9397260000,2.7452300000,2.9133880000,2.8566600000,2020028,28314081.0000,2,3.026426,1,1.985800,0
2008-08-04,sh.600559,2.8870500000,3.0086100000,2.7979060000,2.8343740000,2.9133880000,2159506,31014657.0000,2,3.235393,1,-2.712100,0
2008-08-05,sh.600559,2.8161400000,2.8708420000,2.6256960000,2.6560860000,2.8343740000,1517198,20765123.0000,2,2.273081,1,-6.290200,0
2008-08-06,sh.600559,2.6803980000,2.7128140000,2.5325000000,2.6054360000,2.6560860000,1663317,21648696.0000,2,2.491998,1,-1.906900,0
2008-08-07,sh.600559,2.5932800000,2.6540600000,2.5527600000,2.6500080000,2.6054360000,1163168,14921658.0000,2,1.742670,1,1.710700,0
2008-08-08,sh.600559,2.6338000000,2.6702680000,2.4332260000,2.4676680000,2.6500080000,1645412,20750134.0000,2,2.465172,1,-6.880700,0
2008-08-11,sh.600559,2.4717200000,2.5061620000,2.2204960000,2.2407560000,2.4676680000,2452156,28654765.0000,2,3.673844,1,-9.195400,0
2008-08-12,sh.600559,2.2387300000,2.2589900000,2.1171700000,2.1414820000,2.2407560000,1313111,14037857.0000,2,1.967316,1,-4.430400,0
2008-08-13,sh.600559,2.1232480000,2.2022620000,2.0624680000,2.1759240000,2.1414820000,1609905,16972711.0000,2,2.411975,1,1.608300,0
2008-08-14,sh.600559,2.1657940000,2.2691200000,2.1333780000,2.2630420000,2.1759240000,1651361,18091802.0000,2,2.474085,1,4.003700,0
2008-08-15,sh.600559,2.2630420000,2.2893800000,2.2245480000,2.2427820000,2.2630420000,1105899,12321407.0000,2,1.656869,1,-0.895300,0
2008-08-18,sh.600559,2.2569640000,2.2569640000,2.0178960000,2.0219480000,2.2427820000,1453872,14973513.0000,2,2.178205,1,-9.846400,0
2008-08-19,sh.600559,1.9368560000,2.0746240000,1.9064660000,2.0523380000,2.0219480000,1057628,10601296.0000,2,1.584549,1,1.503000,0
2008-08-20,sh.600559,2.0523380000,2.2569640000,1.9854800000,2.2529120000,2.0523380000,1871830,20045847.0000,2,2.804394,1,9.773000,0
2008-08-21,sh.600559,2.2650680000,2.2954580000,2.1495860000,2.1820020000,2.2529120000,1911355,20975911.0000,2,2.863611,1,-3.147500,0
2008-08-22,sh.600559,2.1982100000,2.1982100000,1.9895320000,2.0867800000,2.1820020000,1705179,17411118.0000,2,2.554716,1,-4.364000,0
2008-08-25,sh.600559,2.0847540000,2.0969100000,2.0057400000,2.0260000000,2.0867800000,1088331,11018124.0000,2,1.630548,1,-2.912600,0
2008-08-26,sh.600559,1.9875060000,1.9956100000,1.8234000000,1.8699980000,2.0260000000,3036166,27915463.0000,2,4.548814,1,-7.700000,0
2008-08-27,sh.600559,1.8132700000,1.8720240000,1.7221000000,1.8051660000,1.8699980000,1763755,15609284.0000,2,2.642475,1,-3.467000,0
