date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2008-05-30,sh.000001,3414.2540,3450.4930,3390.8830,3433.3540,3401.4370,4849540700,64903877746.0000,3,0.011678,1,0.938338,0
2008-06-02,sh.000001,3426.1950,3483.6100,3400.7230,3459.0440,3433.3540,4918607800,61959616284.0000,3,0.011838,1,0.748246,0
2008-06-03,sh.000001,3456.5800,3469.0630,3409.2260,3436.3980,3459.0440,5664249400,69390159055.0000,3,0.013615,1,-0.654689,0
2008-06-04,sh.000001,3424.0370,3428.4670,3341.7390,3369.9130,3436.3980,4803815600,59171321529.0000,3,0.011545,1,-1.934725,0
2008-06-05,sh.000001,3355.9280,3376.3410,3326.5370,3351.6450,3369.9130,4183466300,53340180662.0000,3,0.010046,1,-0.542093,0
2008-06-06,sh.000001,3362.0050,3371.2830,3312.7210,3329.6700,3351.6450,3476321700,42763182378.0000,3,0.008336,1,-0.655651,0
2008-06-10,sh.000001,3202.1130,3215.5010,3045.0580,3072.3330,3329.6700,5090954600,60727533504.0000,3,0.012187,1,-7.728601,0
2008-06-11,sh.000001,3042.1580,3064.2000,2992.3510,3024.2400,3072.3330,4693934500,54181027485.0000,3,0.011230,1,-1.565358,0
2008-06-12,sh.000001,3011.5580,3031.0640,2900.1160,2957.5320,3024.2400,4953582400,56831225904.0000,3,0.011844,1,-2.205778,0
2008-06-13,sh.000001,2960.9050,2976.4500,2865.5000,2868.8000,2957.5320,4106943000,45180876471.0000,3,0.009816,1,-3.000202,0
2008-06-16,sh.000001,2876.2940,2917.8100,2811.7160,2874.1030,2868.8000,4038592400,43220736508.0000,3,0.009647,1,0.184850,0
2008-06-17,sh.000001,2873.1290,2893.4710,2769.1180,2794.7510,2874.1030,4329814700,43840532576.0000,3,0.010314,1,-2.760933,0
2008-06-18,sh.000001,2772.3670,2945.4220,2729.7110,2941.1150,2794.7510,6634980300,69029288606.0000,3,0.015804,1,5.237104,0
2008-06-19,sh.000001,2921.7210,2921.7210,2742.1510,2748.8740,2941.1150,5679582700,59626570971.0000,3,0.013525,1,-6.536330,0
2008-06-20,sh.000001,2811.0840,2917.3250,2695.6280,2831.7360,2748.8740,7415683000,79217445716.0000,3,0.017653,1,3.014400,0
2008-06-23,sh.000001,2780.1480,2813.1370,2741.1900,2760.4170,2831.7360,4067003200,41900494857.0000,3,0.009626,1,-2.518564,0
2008-06-24,sh.000001,2747.3220,2817.1680,2728.8300,2803.0190,2760.4170,4838723100,49942894581.0000,3,0.011452,1,1.543319,0
2008-06-25,sh.000001,2794.0400,2910.4810,2784.4160,2905.0140,2803.0190,6481910500,67510404545.0000,3,0.015337,1,3.638751,0
2008-06-26,sh.000001,2904.0940,2931.3060,2851.1160,2901.8500,2905.0140,6551922800,69186564907.0000,3,0.015481,1,-0.108909,0
2008-06-27,sh.000001,2809.3090,2822.2640,2723.1580,2748.4320,2901.8500,6052991900,61718685206.0000,3,0.014302,1,-5.286911,0
2008-06-30,sh.000001,2724.4040,2766.8030,2693.4040,2736.1030,2748.4320,3851885400,40556340515.0000,3,0.009087,1,-0.448578,0
2008-07-01,sh.000001,2743.1640,2753.3300,2644.7760,2651.6050,2736.1030,4068142300,42996490238.0000,3,0.009594,1,-3.088263,0
2008-07-02,sh.000001,2656.0380,2700.9030,2627.8980,2651.7250,2651.6050,4018179300,43562554256.0000,3,0.009474,1,0.004530,0
2008-07-03,sh.000001,2610.8150,2746.3690,2566.5280,2703.5290,2651.7250,6814671700,74072058340.0000,3,0.016054,1,1.953594,0
2008-07-04,sh.000001,2691.2070,2713.4760,2645.8290,2669.8920,2703.5290,5729192800,62000179301.0000,3,0.013485,1,-1.244187,0
2008-07-07,sh.000001,2673.5500,2801.5340,2673.5500,2792.3970,2669.8920,7740584800,82037582147.0000,3,0.018202,1,4.588384,0
2008-07-08,sh.000001,2805.6080,2843.6030,2754.6160,2814.9470,2792.3970,8020468000,87478469668.0000,3,0.018859,1,0.807552,0
2008-07-09,sh.000001,2838.8630,2920.5460,2838.8630,2920.5460,2814.9470,9702611900,105832317651.0000,3,0.022807,1,3.751363,0
2008-07-10,sh.000001,2879.6240,2952.0390,2862.0590,2875.4500,2920.5460,9090484100,99505895425.0000,3,0.021341,1,-1.544093,0
2008-07-11,sh.000001,2863.8130,2888.2870,2821.3110,2856.6340,2875.4500,6482055300,69789668051.0000,3,0.015192,1,-0.654364,0
2008-07-14,sh.000001,2837.4950,2895.3020,2828.2360,2878.2560,2856.6340,5446592300,59458811236.0000,3,0.012750,1,0.756907,0
2008-07-15,sh.000001,2886.1120,2896.3280,2769.9140,2779.4480,2878.2560,7091523400,75183081177.0000,3,0.016541,1,-3.432916,0
2008-07-16,sh.000001,2753.8980,2765.1480,2656.6130,2705.8670,2779.4480,6004392200,60360593536.0000,3,0.013995,1,-2.647326,0
2008-07-17,sh.000001,2747.9510,2773.2810,2676.1490,2684.7780,2705.8670,5084233300,51451570137.0000,3,0.011846,1,-0.779376,0
2008-07-18,sh.000001,2711.7420,2785.5300,2665.9070,2778.3670,2684.7780,5787350000,59102962346.0000,3,0.013483,1,3.485907,0
2008-07-21,sh.000001,2759.8830,2865.0650,2745.6420,2861.4180,2778.3670,6648770000,69669133696.0000,3,0.015457,1,2.989203,0
2008-07-22,sh.000001,2852.4420,2868.6210,2830.7650,2846.1170,2861.4180,6151910700,65130356224.0000,3,0.014300,1,-0.534736,0
2008-07-23,sh.000001,2870.9340,2887.5760,2831.1110,2837.8490,2846.1170,6149797500,64221812149.0000,3,0.014289,1,-0.290495,0
2008-07-24,sh.000001,2861.8100,2912.7020,2849.0970,2910.2920,2837.8490,7250544500,77975696786.0000,3,0.016840,1,2.552739,0
2008-07-25,sh.000001,2875.7700,2888.5780,2851.9290,2865.1010,2910.2920,6253105900,63867379931.0000,3,0.014510,1,-1.552797,0
2008-07-28,sh.000001,2883.7610,2924.4470,2883.7610,2903.0120,2865.1010,6231879200,64491646958.0000,3,0.014451,1,1.323196,0
2008-07-29,sh.000001,2868.0080,2868.0080,2827.6970,2850.3110,2903.0120,5863227800,59263834814.0000,3,0.013594,1,-1.815388,0
2008-07-30,sh.000001,2884.5860,2894.3690,2822.1880,2836.6680,2850.3110,4894688400,48912863290.0000,3,0.011341,1,-0.478652,0
2008-07-31,sh.000001,2844.6510,2847.9960,2774.1040,2775.7170,2836.6680,4453026900,43577577230.0000,3,0.010313,1,-2.148680,0
